Date,MSCI_World,MSCI_EM
2011-02-17,1789.6948,33.0315
2011-02-18,1785.7021,33.2324
2011-02-22,1769.7316,32.1704
2011-02-23,1740.7854,32.1991
2011-02-24,1746.2749,32.2780
2011-02-25,1763.7429,32.6655
2011-02-28,1762.7443,32.8593
2011-03-01,1750.7665,32.5220
2011-03-02,1739.2878,32.9669
2011-03-03,1763.7429,33.6200
2011-03-04,1757.7539,33.6558
2011-03-07,1751.7649,33.1822
2011-03-08,1761.2476,33.6271
2011-03-09,1748.7703,33.6917
2011-03-10,1738.7883,32.6942
2011-03-11,1731.8015,33.0315
2011-03-14,1695.8680,33.2253
2011-03-15,1683.3912,32.6727
2011-03-16,1668.9176,32.0053
2011-03-17,1679.3984,32.4000
2011-03-18,1689.8788,32.4574
2011-03-21,1708.8441,33.0818
2011-03-22,1699.3623,33.1822
2011-03-23,1709.8424,33.6200
2011-03-24,1744.2784,34.0075
2011-03-25,1756.7556,33.9716
2011-03-28,1755.2584,33.7994
2011-03-29,1756.2565,34.1869
2011-03-30,1764.7408,34.6246
2011-03-31,1763.7429,34.9260
2011-04-01,1777.7170,35.4857
2011-04-04,1772.7257,35.7871
2011-04-05,1755.7573,35.7154
2011-04-06,1758.7516,35.9091
2011-04-07,1750.2673,35.8732
2011-04-08,1760.7489,35.9091
2011-04-11,1752.7632,35.4857
2011-04-12,1740.7854,34.8184
2011-04-13,1746.7740,35.1054
2011-04-14,1729.8052,35.2131
2011-04-15,1744.7777,35.2561
2011-04-18,1717.8279,34.3734
2011-04-19,1718.8252,34.8686
2011-04-20,1750.7665,35.6938
2011-04-21,1744.7777,36.0096
2011-04-26,1765.7390,36.0239
2011-04-27,1760.7489,35.9594
2011-04-28,1768.7341,35.6651
2011-04-29,1768.7341,35.8804
2011-05-03,1780.7112,35.0911
2011-05-04,1758.7516,34.5098
2011-05-05,1754.2601,34.1797
2011-05-06,1772.7257,34.6246
2011-05-09,1764.7408,34.6892
2011-05-10,1777.7170,35.0982
2011-05-11,1764.7408,34.3232
2011-05-12,1763.7429,34.4237
2011-05-13,1767.7357,33.6702
2011-05-16,1766.7367,33.6200
2011-05-17,1742.7815,33.7276
2011-05-18,1768.2349,34.2730
2011-05-19,1770.2303,34.0505
2011-05-20,1758.7516,33.7778
2011-05-23,1738.2894,33.0746
2011-05-24,1737.2916,33.4047
2011-05-25,1723.8167,33.4764
2011-05-26,1716.3304,33.9070
2011-05-27,1724.3156,34.2658
2011-05-31,1743.7798,34.8255
2011-06-01,1737.7905,34.2012
2011-06-02,1717.8279,34.5242
2011-06-03,1710.3413,34.3519
2011-06-06,1705.8497,33.7994
2011-06-07,1698.3633,34.0649
2011-06-08,1687.8831,33.8209
2011-06-09,1696.8660,34.0864
